source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err
"Herrmann et al., 2017",Liu,SRZ,-28.5,26.36,,-30,,,29,-133,
"Herrmann et al., 2017",Liu,SRZ,-28.45,24.42,,-26,,,29,-109,
"Herrmann et al., 2017",Liu,SRZ,-28.45,24.42,,-25,,,29,-119,
"Herrmann et al., 2017",Liu,SRZ,-28.44,22.31,,-30,,,29,-112,
"Herrmann et al., 2017",Liu,SRZ,-28.38,22.15,,-29,,,29,-103,
"Herrmann et al., 2017",Liu,SRZ,-27.55,28.23,,-30,,,29,-148,
"Herrmann et al., 2017",Liu,SRZ,-27.55,28.23,,-29,,,29,-151,
"Herrmann et al., 2017",Liu,SRZ,-27.55,28.23,,-29,,,29,-134,
"Herrmann et al., 2017",Liu,SRZ,-27.25,28.3,,-26,,,29,-149,
"Herrmann et al., 2017",Liu,SRZ,-27.05,28.35,,-25,,,29,-128,
"Huang et al., 2016",Liu,Yichun,68.52,129.53,272,-88,,,29,-209,
"Huang et al., 2016",Liu,Hani,42.22,126.52,902,-77,,,29,-222,
"Huang et al., 2016",Liu,Tiandouyang,25.9,117.47,1196,-55,,,29,-192,
"Huang et al., 2016",Liu,Wangdongyang,27.67,119.63,1398,-59,,,29,-203,
"Huang et al., 2016",Liu,Shiwangutian,26.08,110.37,1688,-62,,,29,-208,
"Huang et al., 2016",Liu,Dajiuhu,31.47,110,1700,-64,,,29,-204,
"Huang et al., 2016",Liu,Zoige,33.82,102.73,3500,-87,,,29,-204,
"Jaeschke et al., 2018",Ladd,VI-Cropland,7.593,36.8544,1769,6.281825171,,,29,-131,
"Jaeschke et al., 2018",Ladd,VI-Forest,7.593,36.8544,1769,6.281825171,,,29,-134,
"Jaeschke et al., 2018",Ladd,VI-Grassland,7.593,36.8544,1769,6.281825171,,,29,-133,
"Jaeschke et al., 2018",Ladd,IV-Cropland,7.4782,36.8814,2099,0.672390959,,,29,-127,
"Jaeschke et al., 2018",Ladd,IV-Forest,7.4782,36.8814,2099,0.672390959,,,29,-132,
"Jaeschke et al., 2018",Ladd,IV-Grassland,7.4782,36.8814,2099,0.672390959,,,29,-130,
"Jaeschke et al., 2018",Ladd,V-Grassland,7.5176,36.8758,2109,3.473166985,,,29,-125,
"Jaeschke et al., 2018",Ladd,V-Forest,7.5176,36.8758,2109,3.473166985,,,29,-134,
"Jaeschke et al., 2018",Ladd,V-Cropland,7.5176,36.8758,2109,3.473166985,,,29,-128,
"Jaeschke et al., 2018",Ladd,III-Forest,7.4609,36.8687,2402,-1.199190527,,,29,-132,
"Jaeschke et al., 2018",Ladd,III-Cropland,7.4609,36.8687,2402,-1.199190527,,,29,-130,
"Jaeschke et al., 2018",Ladd,III-Grassland,7.4609,36.8687,2402,-1.199190527,,,29,-129,
"Jaeschke et al., 2018",Ladd,II-Forest,7.4527,36.8704,2545,-1.059381222,,,29,-140,
