Reference,Compilation,Location,Latitude (°N),Longitude (°E),Elevation (m),δ²H n-C29 (‰ VSMOW),δ²H n-C29 SD (±‰),Sample Type,Plant Species or Type,Functional Type,δ²H Precipitation (‰ VSMOW),δ²H Precipitation SD (±‰),Apparent Fractionation ε (‰),MAP (mm/yr),MAT (°C),Vegetation Zone,Notes,DOI,Data Source,Origin,Audit Flags
"Gaviria-Lugo et al., 2023",,GeoB3311-2_1-2 cm,-33.6067,-72.0467,,-157.3,4.2,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Cajon del Maipo,-33.5814,-70.3586,,-164.7,0.6,Soil,,,-69.7,2.6,-102.1,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB3303-1_1-2 cm,-33.2067,-72.2,,-158.0,5.0,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Rio Aconcagua,-32.9196,-71.3959,,-168.6,4.5,Soil,,,-65.4,3.2,-110.4,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,Quebrada La Campana,-32.9082,-71.0994,,-170.0,1.7,Soil,,,-53.4,1.3,-123.2,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB3304-3_1-2 cm,-32.89,-72.1933,,-153.8,2.9,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Rio Choapa,-31.5922,-71.5382,,-158.7,2.3,Soil,,,-59.7,2.9,-105.3,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7144-1_1-2 cm,-31.16,-71.97,,-151.9,0.2,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Rio Limari,-30.6585,-71.5072,,-165.4,2.8,Soil,,,-59.7,3.4,-112.4,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7138-1_1-2 cm,-30.13,-71.87,,-154.6,5.2,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Talca B,-30.0548,-71.0894,,-153.5,2.4,Soil,,,-42.6,0.9,-115.8,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,Talca A,-30.0545,-71.094,,-160.9,0.1,Soil,,,-42.6,0.9,-123.6,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,Rio Elqui,-29.9459,-71.1293,,-154.7,8.0,Soil,,,-70.2,5.2,-90.9,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7134-1_1-2 cm,-29.72,-71.77,,-153.2,3.6,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,GeoB7135-1_1-2 cm,-29.6667,-71.6758,,-155.6,1.3,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Choros,-29.3332,-71.2311,,-103.0,1.7,Soil,,,-40.2,1.0,-65.4,,,,,,,User compilation,NOTE: ε outside typical range (-65‰); Missing: elevation
"Gaviria-Lugo et al., 2023",,Quebrada Los Choros,-29.3302,-71.2364,,-151.6,6.5,Soil,,,-54.7,2.8,-102.5,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,Rio Huasco,-28.4873,-71.1486,,-158.2,7.0,Soil,,,-69.5,5.2,-95.3,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7130-1_1-2 cm,-28.42,-71.613,,-152.1,5.5,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,GeoB7129-1_1-2 cm,-28.4168,-71.33,,-155.8,10.8,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,GeoB7127-1_1-2 cm,-28.3837,-71.4712,,-151.6,1.4,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Quebrada Totoral,-27.8321,-71.0816,,-151.5,2.0,Soil,,,-48.9,3.3,-107.9,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB3374-1_1-2 cm,-27.4733,-71.1717,,-144.9,9.0,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,GeoB3377-1_1-2 cm,-27.4667,-71.525,,-146.2,13.4,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,GeoB3376-2_1-2 cm,-27.4667,-71.3617,,-144.7,14.6,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Rio Copiapo,-27.3281,-70.9136,,-148.9,5.1,Soil,,,-62.6,5.0,-92.1,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7123-2_1-2 cm,-27.29,-71.05,,-150.9,5.0,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Quebrada Pto Flamenco,-26.5626,-70.6589,,-118.7,0.6,Soil,,,-40.2,2.9,-81.8,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,Rio Salado,-26.3366,-70.5699,,-138.8,0.5,Soil,,,-47.8,3.1,-95.6,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,Rio Pan de Azucar,-26.1487,-70.6527,,-126.2,2.2,Soil,,,-50.8,3.2,-79.4,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,Quebrada Salitrosa,-26.1116,-70.5561,,-89.9,0.6,Soil,,,-29.1,2.6,-62.6,,,,,,,User compilation,NOTE: ε outside typical range (-63‰); Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7116-1_1-2 cm,-26.0002,-70.9998,,-118.9,2.7,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,GeoB7118-1_1-2 cm,-25.9997,-70.8092,,-108.5,3.5,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK32-1)",-27.9267,32.4894,,-130.0,,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK31-1)",-27.9225,32.4869,,-132.2,,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK29-1)",-27.913,32.486,,-130.6,,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK26-1)",-27.8995,32.4834,,-142.4,2.9,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK25-1)",-27.8948,32.4832,,-134.0,,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK08-2)",-27.8896,32.483,,-148.5,1.0,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK08-4)",-27.8863,32.4838,,-148.6,,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK18-1)",-27.878,32.4834,,-146.7,0.2,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK16-1)",-27.87,32.4845,,-153.4,0.3,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK15-1)",-27.865,32.484,,-152.9,0.6,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK14-1)",-27.8567,32.4785,,-157.9,0.3,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK24-4)",-27.8561,32.4793,,-154.2,0.3,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK23-1)",-27.8526,32.4749,,-133.8,0.4,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK07-5_1)",-27.8412,32.4784,,-157.1,,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK07-5_2)",-27.8412,32.4784,,-164.8,0.0,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK21-1)",-27.746,32.5021,,-138.5,0.2,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK22-1)",-27.746,32.5021,,-150.9,0.1,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK20-1)",-27.7254,32.4868,,-155.0,0.3,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK20-2)",-27.7254,32.4868,,-146.5,0.2,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK10-1)",-27.6962,32.4746,,-160.3,0.1,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK12-1)",-27.6961,32.4679,,-149.5,0.8,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK03-1)",-27.6628,32.4199,,-138.9,,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK03-2)",-27.6628,32.4199,,-160.4,1.0,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK03-3)",-27.6628,32.4199,,-145.7,,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK02-3)",-27.6548,32.4031,,-143.9,0.1,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK01-10)",-27.5987,32.3021,,-131.5,0.2,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK06-1)",-27.5918,32.2185,,-147.4,0.3,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Gensel et al. 2022,,"Mkhuze Wetland, South Africa (MK05-1)",-27.5839,32.1471,,-143.3,0.2,Surface sediment,,,,,,,,,"Mkhuze River & Lake St. Lucia, surface sediment (0-10cm)",10.5194/bg-19-2881-2022,PANGAEA 935586,Gap-fill v8,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Mekong",22.19287,100.527905,1400.0,-209.0,2.475,Soil,,soil,-81.993,,-138.4,,13.65,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Mekong,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Mekong",22.341296,101.270996,931.0,-212.0,2.475,Soil,,soil,-28.308,,-189.0,,16.34,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Mekong,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,NOTE: ε outside typical range (-189‰)
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Mekong",22.71668,101.32093,956.0,-188.0,2.475,Soil,,soil,-31.696,,-161.4,,16.0,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Mekong,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Mekong",25.597,100.0586,1265.0,-160.0,3.5,Soil,,soil,-57.647,,-108.6,,12.36,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Mekong,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Mekong",25.937,99.3351,1745.0,-172.0,3.5,Soil,,soil,-58.771,,-120.3,,11.61,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Mekong,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Mekong",26.486,99.6988,2635.0,-212.0,2.475,Soil,,soil,-63.725,,-158.4,,7.07,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Mekong,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Mekong",26.524,99.7771,2357.0,-166.0,2.475,Soil,,soil,-64.572,,-108.4,,8.59,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Mekong,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Mekong",26.595,99.8465,2463.0,-183.0,3.5,Soil,,soil,-63.978,,-127.2,,7.9,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Mekong,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Mekong",26.667,99.932,2459.0,-167.0,3.5,Soil,,soil,-90.325,,-84.3,,8.1,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Mekong,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Yangtze",26.8637,100.0371,2500.0,-188.0,3.5,Soil,,soil,-64.811,,-131.7,,8.15,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Yangtze,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Yangtze",26.882,100.0011,1881.0,-195.0,2.475,Soil,,soil,-68.031,,-136.2,,11.12,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Yangtze,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Yangtze",27.073,99.5562,2549.0,-190.0,2.475,Soil,,soil,-85.94,,-113.8,,7.18,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Yangtze,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Yangtze",27.1409,100.6678,3075.0,-215.0,3.5,Soil,,soil,-60.819,,-164.2,,5.04,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Yangtze,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Yangtze",27.223472,100.025806,1970.0,-203.0,2.475,Soil,,soil,-73.388,,-139.9,,10.15,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Yangtze,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Yangtze",27.399,100.8425,2538.0,-169.0,2.475,Soil,,soil,-65.785,,-110.5,,7.77,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Yangtze,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Yangtze",27.4581,101.2959,2754.0,-181.0,3.5,Soil,,soil,-65.567,,-123.5,,6.94,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Yangtze,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Yangtze",27.4987,101.334,2233.0,-194.0,2.475,Soil,,soil,-67.781,,-135.4,,9.24,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Yangtze,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",27.6314,85.9625,1660.0,-161.0,2.475,Soil,,soil,-53.157,,-113.9,,8.99,Himalayan,Drainage: Brahmaputra; Ref: Floodplain gravel,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Yangtze",27.6323,100.8164,3340.0,-191.0,2.475,Soil,,soil,-66.051,,-133.8,,4.01,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Yangtze,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",27.6397,84.1091,160.0,-157.0,2.021,Soil,,soil,-42.018,,-120.0,,19.71,Himalayan,Drainage: Brahmaputra; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Yangtze",27.64441333,100.9693,2362.0,-185.0,2.021,Soil,,soil,-68.434,,-125.1,,8.01,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Yangtze,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Yunnan, drainage: Yangtze",27.7433,100.7687,2764.0,-205.0,2.021,Soil,,soil,-70.684,,-144.5,,6.86,Yunnan,Outside primary study area - flagged in model analysis; Drainage: Yangtze,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",27.8,85.0,416.0,-151.0,2.021,Soil,,soil,-53.502,,-103.0,,18.33,Himalayan,Drainage: Brahmaputra; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",27.9656,85.9669,1960.0,-190.0,2.475,Soil,,soil,-78.225,,-121.3,,9.82,Himalayan,Drainage: Brahmaputra; Ref: The red brown soil +gravel,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",27.9658,85.9792,1690.0,-162.0,2.475,Soil,,soil,-76.582,,-92.5,,6.92,Himalayan,Drainage: Brahmaputra; Ref: Floodplain gravel,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",27.9664,85.9653,1770.0,-174.0,2.475,Soil,,soil,-78.468,,-103.7,,10.29,Himalayan,Drainage: Brahmaputra; Ref: yellow brown soil+gravel,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",27.9744,85.9717,1850.0,-166.0,2.475,Soil,,soil,-78.878,,-94.6,,10.14,Himalayan,Drainage: Brahmaputra; Ref: gravel,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",27.9747,85.9761,2130.0,-189.0,2.475,Soil,,soil,-78.482,,-119.9,,9.02,Himalayan,Drainage: Brahmaputra; Ref: gravel,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",27.9767,85.9764,2060.0,-156.0,2.475,Soil,,soil,-78.765,,-83.8,,9.17,Himalayan,Drainage: Brahmaputra; Ref: The red brown soil,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",27.9831,85.9686,2210.0,-183.0,2.475,Soil,,soil,-79.522,,-112.4,,9.57,Himalayan,Drainage: Brahmaputra; Ref: The red brown soil +gravel,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",27.9942,85.9819,2330.0,-205.0,2.475,Soil,,soil,-80.206,,-135.7,,9.18,Himalayan,Drainage: Brahmaputra; Ref: soil,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",28.0042,85.9775,2570.0,-190.0,2.475,Soil,,soil,-80.386,,-119.2,,7.79,Himalayan,Drainage: Brahmaputra; Ref: Floodplain gravel,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",28.0294,85.9853,2800.0,-193.0,2.475,Soil,,soil,-81.789,,-121.1,,5.81,Himalayan,Drainage: Brahmaputra; Ref: Floodplain gravel,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",28.0378,85.9892,3090.0,-214.0,2.475,Soil,,soil,-82.276,,-143.5,,5.29,Himalayan,Drainage: Brahmaputra; Ref: The red  soil,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",28.0403,85.9881,2920.0,-211.0,2.475,Soil,,soil,-82.432,,-140.1,,5.3,Himalayan,Drainage: Brahmaputra; Ref: The red brown soil,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",28.0653,86.0025,3280.0,-219.0,2.475,Soil,,soil,-82.781,,-148.5,,2.65,Himalayan,Drainage: Brahmaputra; Ref: yellow brown soil,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",28.0881,86.0008,3360.0,-216.0,2.475,Soil,,soil,-85.738,,-142.5,,3.13,Himalayan,Drainage: Brahmaputra; Ref: The red brown soil,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",28.1194,85.9923,3485.0,-183.0,2.021,Soil,,soil,-87.951,,-104.2,,1.12,Himalayan,Drainage: Brahmaputra; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
