"obs_id","source","compilation","location","DOI","latitude","longitude","elevation","d2H_precip","d2H_precip_err","d2H_wax","d2H_wax_err","archive_class"
"obs_0145","Gaviria-Lugo et al., 2023","","GeoB7127-1_1-2 cm","10.5194/bg-20-4433-2023",-28.3837,-71.4712,NA,NA,NA,-151.6,1.4,"marine sediment"
"obs_0146","Gaviria-Lugo et al., 2023","","Quebrada Totoral","10.5194/bg-20-4433-2023",-27.8321,-71.0816,NA,-48.9,3.3,-151.5,2,"fluvial sediment"
"obs_0147","Gaviria-Lugo et al., 2023","","GeoB3374-1_1-2 cm","10.5194/bg-20-4433-2023",-27.4733,-71.1717,NA,NA,NA,-144.9,9,"marine sediment"
"obs_0148","Gaviria-Lugo et al., 2023","","GeoB3377-1_1-2 cm","10.5194/bg-20-4433-2023",-27.4667,-71.525,NA,NA,NA,-146.2,13.4,"marine sediment"
"obs_0149","Gaviria-Lugo et al., 2023","","GeoB3376-2_1-2 cm","10.5194/bg-20-4433-2023",-27.4667,-71.3617,NA,NA,NA,-144.7,14.6,"marine sediment"
"obs_0150","Gaviria-Lugo et al., 2023","","Rio Copiapo","10.5194/bg-20-4433-2023",-27.3281,-70.9136,NA,-62.6,5,-148.9,5.1,"fluvial sediment"
"obs_0151","Gaviria-Lugo et al., 2023","","GeoB7123-2_1-2 cm","10.5194/bg-20-4433-2023",-27.29,-71.05,NA,NA,NA,-150.9,5,"marine sediment"
"obs_0152","Gaviria-Lugo et al., 2023","","Quebrada Pto Flamenco","10.5194/bg-20-4433-2023",-26.5626,-70.6589,NA,-40.2,2.9,-118.7,0.6,"fluvial sediment"
"obs_0153","Gaviria-Lugo et al., 2023","","Rio Salado","10.5194/bg-20-4433-2023",-26.3366,-70.5699,NA,-47.8,3.1,-138.8,0.5,"fluvial sediment"
"obs_0154","Gaviria-Lugo et al., 2023","","Rio Pan de Azucar","10.5194/bg-20-4433-2023",-26.1487,-70.6527,NA,-50.8,3.2,-126.2,2.2,"fluvial sediment"
"obs_0155","Gaviria-Lugo et al., 2023","","Quebrada Salitrosa","10.5194/bg-20-4433-2023",-26.1116,-70.5561,NA,-29.1,2.6,-89.9,0.6,"fluvial sediment"
"obs_0156","Gaviria-Lugo et al., 2023","","GeoB7116-1_1-2 cm","10.5194/bg-20-4433-2023",-26.0002,-70.9998,NA,NA,NA,-118.9,2.7,"marine sediment"
"obs_0157","Gaviria-Lugo et al., 2023","","GeoB7118-1_1-2 cm","10.5194/bg-20-4433-2023",-25.9997,-70.8092,NA,NA,NA,-108.5,3.5,"marine sediment"
